,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,total_cases,year,month,day,TMAX,TMIN,TAVG,TDTR,PRCP,precipitation_amount,Reanalysis_Year,Reanalysis_Month,Reanalysis_Day,Reanalysis_ air_temperature,Reanalysis_ dew_point_temperature,Reanalysis_relative_humidity,Reanalysis_ specific_humidity,Reanalysis_ minimum_air_temperature,Reanalysis_ maximum_air_temperature,Reanalysis_precipitation_amount,Reanalysis_TDTR,Reanalysis_TAVG,week_number, Week,ndvi_se, ndvi_sw,ndvi_ne,ndvi_nw
76,25,2001-12-17,2,0,0,0,2,4,2001,12,17,30.3,23.2,26.8,7.1,0.0,8.76,2001,12,17,297.47,297.23,98.72,18.97,295.4,300.4,20.2,5,297.9,51,51.0, 2.229429e-01, 1.841286e-01, 2.240714e-01, 2.128143e-01
77,26,2001-12-24,0,0,0,0,1,1,2001,12,24,-9999.0,-9999.0,-9999.0,-9999.0,0.0,53.44,2001,12,24,298.03,297.78,98.75,19.54,296.3,299,40.68,2.6999999999999886,297.65,52,52.0, 2.981889e-01, 3.417000e-01, 3.380778e-01, 2.887889e-01
78,27,2002-01-01,2,0,1,0,1,4,2002,1,1,33.4,-9999.0,-9999.0,-9999.0,0.0,48.16,2002,1,1,299.53,296.21,82.57,17.84,295.5,305.5,4.5,10,300.5,1,1.0, 4.057286e-01, 3.800143e-01, 3.484000e-01, 3.686429e-01
79,28,2002-01-08,5,0,3,0,3,11,2002,1,8,36.0,22.2,29.1,13.8,3.0,8.62,2002,1,8,300.93,295.61,75.45,17.13,295.7,307.7,2,12,301.7,2,2.0, 3.275833e-01, 3.833333e-01, 3.759167e-01, 4.102667e-01
80,29,2002-01-15,4,0,7,0,5,16,2002,1,15,35.8,23.5,29.6,12.3,-9999.0,6.14,2002,1,15,299.99,292.8,65.88,14.42,293.2,305.9,1.7,12.699999999999989,299.54999999999995,3,3.0, 2.410857e-01, 1.976429e-01, 1.456500e-01, 2.780286e-01
81,30,2002-01-22,7,1,5,0,10,23,2002,1,22,-9999.0,22.8,-9999.0,-9999.0,14.0,20.45,2002,1,22,297.45,296.32,93.57,17.85,295.4,304.2,2,8.800000000000011,299.79999999999995,4,4.0, 1.041286e-01, 1.419143e-01, 1.483286e-01, 1.121857e-01
82,31,2002-01-29,8,2,1,0,1,12,2002,1,29,30.8,20.8,25.8,10.0,13.0,0.5,2002,1,29,295.15,294.07,94.32,15.58,292,301.8,2.4,9.800000000000011,296.9,5,,,,,
83,32,2002-02-05,3,1,1,0,9,14,2002,2,5,33.2,22.6,27.9,10.6,15.0,14.04,2002,2,5,298.36,296.38,90.3,17.9,295.5,303.9,3.1,8.399999999999977,299.7,6,6.0, 1.849167e-01, 1.844286e-01, 1.733286e-01, 1.687429e-01
84,33,2002-02-12,7,1,3,0,7,18,2002,2,12,33.5,21.0,27.2,12.5,-9999.0,6.65,2002,2,12,297.84,295.47,87.9,16.99,295.2,302.4,0.13,7.199999999999989,298.79999999999995,7,7.0, 2.919714e-01, 3.732714e-01, 2.241429e-01, 3.051000e-01
85,34,2002-02-19,3,0,2,0,3,8,2002,2,19,32.0,23.0,27.5,9.0,0.0,16.51,2002,2,19,296,295.89,99.4,17.4,294.5,300.5,3.2,6,297.5,8,8.0, 1.288000e-01, 1.251714e-01, 1.224333e-01, 9.594286e-02
86,35,2002-02-26,2,0,2,0,3,7,2002,2,26,-9999.0,22.9,-9999.0,-9999.0,6.1,0,2002,2,26,298.92,294.71,83.4,16.23,294.7,308.8,0.2,14.100000000000023,301.75,9,9.0, 1.162000e-01, 2.104143e-01, 1.787429e-01, 8.991429e-02
87,36,2002-03-05,3,0,6,0,1,10,2002,3,5,34.5,-9999.0,-9999.0,-9999.0,-9999.0,24.13,2002,3,5,297,296.83,99.03,18.4,295.6,298.6,20.1,3,297.1,10,10.0, 3.183667e-01, 2.973833e-01, 2.556000e-01, 2.660000e-01
88,37,2002-03-12,2,0,3,0,2,7,2002,3,12,33.0,21.0,27.0,12.0,8.9,3.67,2002,3,12,297.76,296.15,91.68,17.77,294.1,305.8,5.2,11.699999999999989,299.95000000000005,11,11.0, 2.483857e-01, 2.992333e-01, 1.795000e-01, 2.698143e-01
89,38,2002-03-19,2,1,5,0,2,10,2002,3,19,32.3,-9999.0,-9999.0,-9999.0,0.0,36.12,2002,3,19,296.86,296.76,99.68,18.4,296.1,297.6,45.6,1.5,296.85,12,12.0, 2.265857e-01, 2.435143e-01, 2.483333e-01, 2.302000e-01
90,39,2002-03-26,0,0,3,0,2,5,2002,3,26,-9999.0,21.5,-9999.0,-9999.0,13.0,43.25,2002,3,26,296.68,296.4,98.62,18.08,294.5,300.8,9.6,6.300000000000011,297.65,13,13.0, 2.127857e-01, 2.284571e-01, 2.745500e-01, 1.987000e-01
91,40,2002-04-02,1,0,8,0,2,11,2002,4,2,31.0,21.6,26.3,9.4,13.0,13.08,2002,4,2,297.59,297.33,98.62,19.03,295.5,299.5,39.9,4,297.5,14,14.0, 1.970800e-01, 2.763286e-01, 2.962286e-01, 1.805000e-01
92,41,2002-04-09,1,0,4,0,3,8,2002,4,9,-9999.0,21.3,-9999.0,-9999.0,-9999.0,2.39,2002,4,9,296.98,295.7,93.35,17.17,295.2,300.6,2.6,5.400000000000034,297.9,15,15.0, 2.698286e-01, 2.662857e-01, 1.968143e-01, 2.025857e-01
93,42,2002-04-16,1,0,12,0,5,18,2002,4,16,,,,,,0.98,2002,4,16,297.61,296.4,93.53,17.92,294.4,304,6.6,9.600000000000023,299.2,16,16.0, 2.693500e-01, 1.949429e-01, 2.121571e-01, 1.889286e-01
94,43,2002-04-23,2,1,6,0,4,13,2002,4,23,33.5,-9999.0,-9999.0,-9999.0,0.0,32.66,2002,4,23,297.11,296.08,94.62,17.65,294.7,303.8,8.7,9.100000000000023,299.25,17,17.0, 2.678429e-01, 2.669286e-01, 2.614143e-01, 2.485000e-01
95,44,2002-04-30,0,0,7,0,2,9,2002,4,30,,,,,,2.15,2002,4,30,296.94,295.3,91.28,16.89,293,303,3,10,298,18,18.0, 1.703571e-01, 2.570714e-01, 1.418286e-01, 1.977286e-01
96,45,2002-05-07,2,0,15,0,5,22,2002,5,7,-9999.0,21.5,-9999.0,-9999.0,0.0,1.95,2002,5,7,296.09,295.92,99.15,17.41,294.7,299.5,13.6,4.800000000000011,297.1,19,19.0, 2.272571e-01, 2.101143e-01, 1.782429e-01, 1.773857e-01
97,46,2002-05-14,1,1,4,0,4,10,2002,5,14,,,,,,0,2002,5,14,296.15,294.08,90.03,15.53,292.7,303.2,0.1,10.5,297.95,20,20.0, 1.338000e-01, 1.417000e-01, 1.096333e-01, 2.196143e-01
98,47,2002-05-21,0,0,4,0,1,5,2002,5,21,32.3,21.0,26.6,11.3,4.1,0.83,2002,5,21,297.9,296.55,93.05,18.1,294.9,302.8,4.9,7.900000000000034,298.85,21,21.0, 1.921143e-01, 2.222000e-01, 1.776429e-01, 2.308571e-01
99,48,2002-05-28,0,1,7,0,5,13,2002,5,28,33.1,22.8,27.9,10.3,0.0,2.06,2002,5,28,297.38,295.68,90.42,17.27,293.5,305.2,2.4,11.699999999999989,299.35,22,22.0, 1.764571e-01, 2.386286e-01, 1.749143e-01, 1.881571e-01
100,49,2002-06-04,0,0,0,0,2,2,2002,6,4,-9999.0,22.0,-9999.0,-9999.0,-9999.0,15.76,2002,6,4,297.64,295.27,89.23,16.76,294.4,305.8,5.5,11.400000000000034,300.1,23,23.0, 3.204714e-01, 3.431857e-01, 2.780857e-01, 2.377286e-01
101,50,2002-06-11,0,0,6,0,5,11,2002,6,11,29.6,21.4,25.5,8.2,7.1,23.5,2002,6,11,297.23,296.88,97.95,18.41,295.9,299.8,13.66,3.900000000000034,297.85,24,24.0, 3.862667e-01, 3.916286e-01, 2.591333e-01, 3.284143e-01
102,51,2002-06-18,0,0,6,0,5,11,2002,6,18,30.2,18.6,24.4,11.6,-9999.0,0,2002,6,18,295.46,292.78,86,14.32,290.5,303.3,0.4,12.800000000000011,296.9,25,25.0, 2.212714e-01, 2.252143e-01, 1.735143e-01, 2.119714e-01
103,52,2002-06-25,0,0,1,0,2,3,2002,6,25,-9999.0,21.9,-9999.0,-9999.0,-9999.0,0,2002,6,25,295.22,289.88,75.92,11.85,287.4,304.4,0,17,295.9,26,26.0, 1.791714e-01, 2.132857e-01, 2.791000e-01, 1.326143e-01
104,1,2002-07-02,0,0,2,0,5,7,2002,7,2,-9999.0,21.6,-9999.0,-9999.0,0.0,0,2002,7,2,295.01,292.05,86.65,13.63,291.2,303.1,0.1,11.900000000000034,297.15,27,27.0, 1.015429e-01, 7.624286e-02, 1.266000e-01, 1.193571e-01
105,2,2002-07-09,1,0,3,0,3,7,2002,7,9,28.1,-9999.0,-9999.0,-9999.0,0.0,0,2002,7,9,297.09,294.1,86.9,15.56,293.6,306.3,1,12.699999999999989,299.95000000000005,28,28.0, 2.160200e-01, 2.129714e-01, 2.350667e-01, 1.511857e-01
106,3,2002-07-16,0,0,1,0,3,4,2002,7,16,32.7,-9999.0,-9999.0,-9999.0,-9999.0,0,2002,7,16,297.77,294.6,84.85,16.05,293.2,306.6,2,13.400000000000034,299.9,29,29.0, 1.080429e-01, 1.179714e-01, 7.298571e-02, 1.112286e-01
107,4,2002-07-23,0,0,2,0,3,5,2002,7,23,33.8,22.0,27.9,11.8,5.1,21.7,2002,7,23,297.8,295.97,90.6,17.46,294.2,304.8,8.9,10.600000000000023,299.5,30,30.0, 2.225000e-01, 3.464714e-01, 2.631000e-01, 2.489857e-01
108,5,2002-07-30,0,0,5,0,1,6,2002,7,30,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,2002,7,30,295.13,292.58,87.72,14.09,292,304.6,1.6,12.600000000000023,298.3,31,31.0, 3.870143e-01, 2.830571e-01, 2.601714e-01, 3.492714e-01
109,6,2002-08-06,0,0,4,0,3,7,2002,8,6,-9999.0,20.8,-9999.0,-9999.0,-9999.0,0,2002,8,6,298.57,293.83,75.32,15.36,291.7,306.1,0,14.400000000000034,298.9,32,32.0, 3.041167e-01, 3.378429e-01, 2.788429e-01, 3.074571e-01
110,7,2002-08-13,0,0,3,0,4,7,2002,8,13,33.1,-9999.0,-9999.0,-9999.0,-9999.0,0.9,2002,8,13,295.55,292.48,83.2,14.05,290.9,299.1,0.09,8.200000000000045,295,33,33.0, 3.771571e-01, 3.608429e-01, 3.059000e-01, 2.884000e-01
111,8,2002-08-20,0,0,1,0,3,4,2002,8,20,35.1,-9999.0,-9999.0,-9999.0,-9999.0,0.69,2002,8,20,298.29,292.15,69.95,13.81,295.2,303.8,1,8.600000000000023,299.5,34,34.0, 3.454250e-01, 3.092667e-01, 3.135400e-01, 2.950500e-01
112,9,2002-08-27,1,0,4,0,4,9,2002,8,27,33.3,21.8,27.5,11.5,0.0,3.7,2002,8,27,300,294.52,73.62,16,293.9,310.5,1,16.600000000000023,302.2,35,35.0, 3.045429e-01, 3.224714e-01, 2.694429e-01, 2.508571e-01
113,10,2002-09-03,1,0,12,0,4,17,2002,9,3,-9999.0,19.9,-9999.0,-9999.0,0.0,0,2002,9,3,298.27,293.42,78.12,14.92,292,308.4,0,16.399999999999977,300.2,36,36.0, 2.290143e-01, 1.908857e-01, 1.319714e-01, 2.494571e-01
114,11,2002-09-10,0,0,5,0,3,8,2002,9,10,-9999.0,21.8,-9999.0,-9999.0,0.0,2.38,2002,9,10,300.33,292.57,67.68,14.22,292,309.7,0,17.69999999999999,300.85,37,37.0, 3.075429e-01, 1.907714e-01, 2.941714e-01, 3.234000e-01
115,12,2002-09-17,0,0,21,0,1,22,2002,9,17,36.0,22.1,29.0,13.9,0.0,2.39,2002,9,17,298.87,295.85,84.12,17.41,296,305.4,19.9,9.399999999999977,300.7,38,38.0, 3.274143e-01, 3.838714e-01, 3.472571e-01, 3.386714e-01
116,13,2002-09-24,0,0,16,0,2,18,2002,9,24,37.7,21.9,29.8,15.8,0.0,0.6,2002,9,24,300.57,287.23,47.25,10.13,293,313.2,0,20.19999999999999,303.1,39,39.0, 2.379833e-01, 3.200429e-01, 3.084286e-01, 2.681143e-01
117,14,2002-10-01,0,0,16,0,5,21,2002,10,1,34.6,22.4,28.5,12.2,35.1,22.64,2002,10,1,296.82,295.88,94.7,17.37,294.8,299.7,20.7,4.899999999999977,297.25,40,40.0, 2.721143e-01, 2.741714e-01, 1.793667e-01, 3.142429e-01
118,15,2002-10-08,0,0,13,0,3,16,2002,10,8,34.2,22.1,28.2,12.1,0.0,2.07,2002,10,8,298.74,294.38,78.07,15.92,295.5,301.6,12,6.100000000000023,298.55,41,41.0, 3.781500e-01, 2.459333e-01, 3.857833e-01, 2.314286e-01
119,16,2002-10-15,0,0,19,0,12,31,2002,10,15,36.0,-9999.0,-9999.0,-9999.0,18.0,10.36,2002,10,15,298.03,295.45,86.12,17.05,294.3,302.5,6,8.199999999999989,298.4,42,42.0, 1.992714e-01, 2.277143e-01, 1.592429e-01, 2.581286e-01
120,17,2002-10-22,0,0,16,0,9,25,2002,10,22,-9999.0,23.8,-9999.0,-9999.0,4.1,2.34,2002,10,22,297.84,297.27,96.98,18.99,295.8,304.8,9.9,9,300.3,43,43.0, 2.278714e-01, 2.229429e-01, 2.144571e-01, 2.997714e-01
121,18,2002-10-29,0,0,21,0,7,28,2002,10,29,-9999.0,-9999.0,-9999.0,-9999.0,0.0,2.28,2002,10,29,299.05,297.8,93.62,19.61,297,306.5,5.7,9.5,301.75,44,44.0, 3.290857e-01, 3.159286e-01, 2.862143e-01, 2.940571e-01
122,19,2002-11-05,0,0,18,0,8,26,2002,11,5,33.6,-9999.0,-9999.0,-9999.0,0.5,4.64,2002,11,5,299.54,296.35,86.45,17.97,296.4,306.6,7.6,10.200000000000045,301.5,45,45.0, 3.071429e-01, 3.642857e-01, 2.769500e-01, 2.879286e-01
123,20,2002-11-12,0,0,6,0,12,18,2002,11,12,-9999.0,23.0,-9999.0,-9999.0,27.9,9.05,2002,11,12,296.96,296.79,99.15,18.38,295.9,298.8,30.5,2.900000000000034,297.35,46,46.0, 2.368333e-01, 1.620286e-01, 2.021571e-01, 2.095143e-01
124,21,2002-11-19,0,0,11,0,16,27,2002,11,19,33.4,23.9,28.7,9.5,2.0,3.86,2002,11,19,298.29,297.77,97.15,19.61,295.7,305.6,13.73,9.900000000000034,300.65,47,47.0, 2.506143e-01, 2.982667e-01, 2.791333e-01, 2.156333e-01
125,22,2002-11-26,0,0,8,0,3,11,2002,11,26,33.2,23.7,28.5,9.5,0.3,14.85,2002,11,26,298.21,296.47,91.17,18.01,296.6,302.3,14.5,5.699999999999989,299.45000000000005,48,48.0, 3.109286e-01, 2.563286e-01, 2.852286e-01, 2.907286e-01
126,23,2002-12-03,0,0,22,0,16,38,2002,12,3,34.0,-9999.0,-9999.0,-9999.0,5.1,2.85,2002,12,3,297.55,297.15,97.9,18.81,294.6,299.7,4.7,5.099999999999966,297.15,49,49.0, 3.008000e-01, 3.483286e-01, 2.528000e-01, 3.449571e-01
127,24,2002-12-10,0,0,21,0,8,29,2002,12,10,34.0,24.0,29.0,10.0,0.0,0,2002,12,10,298.98,298.5,97.5,20.58,296.5,306,4.8,9.5,301.25,50,50.0, 2.680286e-01, 1.850714e-01, 1.424286e-01, 2.886714e-01
128,25,2002-12-17,0,0,18,0,3,21,2002,12,17,33.3,21.9,27.6,11.4,64.0,63.65,2002,12,17,297.58,297.03,96.97,18.65,296,301.8,4,5.800000000000011,298.9,51,51.0, 2.542286e-01, 2.090286e-01, 1.839143e-01, 2.707143e-01
129,26,2002-12-24,0,0,9,0,2,11,2002,12,24,32.1,23.4,27.8,8.7,5.1,15.26,2002,12,24,297.62,297.29,98.23,18.97,295.9,299.8,15.6,3.900000000000034,297.85,52,52.0, 1.194000e-01, 1.895857e-01, 1.364000e-01, 1.718286e-01
130,27,2003-01-01,0,0,8,0,2,10,2003,1,1,-9999.0,23.6,-9999.0,-9999.0,1.0,0,2003,1,1,297.85,295.8,90.4,17.29,294.8,305.3,2.4,10.5,300.05,1,1.0, 3.234143e-01, 3.184286e-01, 3.004143e-01, 3.291857e-01
131,28,2003-01-08,0,0,3,0,2,5,2003,1,8,-9999.0,-9999.0,-9999.0,-9999.0,0.0,7.03,2003,1,8,296.96,296.22,96,17.74,295.1,303.1,1.8,8,299.1,2,2.0, 4.884000e-01, 4.697000e-01, 4.024429e-01, 4.149286e-01
132,29,2003-01-15,0,0,5,0,1,6,2003,1,15,-9999.0,23.0,-9999.0,-9999.0,0.8,1.84,2003,1,15,297.68,294.08,80.77,15.6,294.7,304.2,0.4,9.5,299.45,3,3.0, 3.030000e-01, 3.012857e-01, 1.694667e-01, 2.915429e-01
133,30,2003-01-22,0,0,1,0,1,2,2003,1,22,-9999.0,22.5,-9999.0,-9999.0,0.0,0,2003,1,22,299.43,292.91,71.38,14.53,292.5,307.6,0,15.100000000000023,300.05,4,4.0, 2.249571e-01, 2.895000e-01, 2.602714e-01, 2.069286e-01
134,31,2003-01-29,0,0,0,0,1,1,2003,1,29,33.8,-9999.0,-9999.0,-9999.0,2.0,10.47,2003,1,29,299.1,298.18,95.12,20.01,297.3,304.5,10.5,7.199999999999989,300.9,5,5.0, 1.660286e-01, 1.834429e-01, 1.406286e-01, 1.913857e-01
135,32,2003-02-05,0,0,1,0,1,2,2003,2,5,32.2,22.7,27.5,9.5,3.0,10.34,2003,2,5,295.93,295.35,96.88,16.86,294.2,297.8,1.3,3.6000000000000227,296,6,6.0, 1.914500e-01, 1.567143e-01, 8.642857e-02, 1.368000e-01
136,33,2003-02-12,0,0,1,0,1,2,2003,2,12,-9999.0,23.7,-9999.0,-9999.0,58.9,2.83,2003,2,12,297.98,295.88,89.9,17.39,295,304.2,0.3,9.199999999999989,299.6,7,7.0, 3.137143e-01, 2.864714e-01, 2.284143e-01, 2.521143e-01
137,34,2003-02-19,0,0,2,0,1,3,2003,2,19,35.0,23.8,29.4,11.2,0.0,29.36,2003,2,19,300.39,295.21,75.12,16.71,296.6,306.8,1.5,10.199999999999989,301.70000000000005,8,8.0, 1.262571e-01, 1.337143e-01, 1.355143e-01, 1.036571e-01
138,35,2003-02-26,0,0,3,0,2,5,2003,2,26,-9999.0,-9999.0,-9999.0,-9999.0,0.0,2.49,2003,2,26,298.73,295.04,82.03,16.55,295.4,304.7,2.1,9.300000000000011,300.04999999999995,9,9.0, 2.976000e-01, 2.072833e-01, 2.366333e-01, 2.291500e-01
139,36,2003-03-05,0,0,0,0,1,1,2003,3,5,-9999.0,-9999.0,-9999.0,-9999.0,5.1,18.37,2003,3,5,295.64,295.56,99.78,17.07,295.1,297.2,52.4,2.099999999999966,296.15,10,10.0, 1.695286e-01, 1.851429e-01, 1.389571e-01, 2.340571e-01
140,37,2003-03-12,0,0,1,0,3,4,2003,3,12,33.5,-9999.0,-9999.0,-9999.0,0.0,13.02,2003,3,12,296.39,296.3,99.35,17.8,295.5,299.8,57,4.300000000000011,297.65,11,11.0, 2.000000e-01, 1.636286e-01, 1.902857e-01, 1.589429e-01
141,38,2003-03-19,0,0,0,0,2,2,2003,3,19,-9999.0,21.8,-9999.0,-9999.0,0.0,14.39,2003,3,19,299.31,296.04,86.35,17.62,295.8,306.7,4.8,10.899999999999977,301.25,12,12.0, 2.142143e-01, 2.485000e-01, 2.251571e-01, 2.191714e-01
142,39,2003-03-26,0,0,1,0,3,4,2003,3,26,32.9,22.7,27.8,10.2,0.8,8.36,2003,3,26,299.13,295.36,84.2,16.96,292.9,307.5,1.5,14.600000000000023,300.2,13,13.0, 1.475286e-01, 2.059143e-01, 2.694571e-01, 1.268571e-01
143,40,2003-04-02,0,0,0,0,0,0,2003,4,2,34.5,23.2,28.9,11.3,16.0,13.67,2003,4,2,298.12,297.55,96.77,19.33,293.9,302.1,15.7,8.200000000000045,298,14,14.0, 2.482000e-01, 2.886857e-01, 2.627714e-01, 2.065000e-01
144,41,2003-04-09,0,0,0,0,0,0,2003,4,9,-9999.0,-9999.0,-9999.0,-9999.0,11.9,12.83,2003,4,9,298.11,297.1,94.65,18.76,295.8,304,4.45,8.199999999999989,299.9,15,15.0, 2.052429e-01, 2.087857e-01, 1.842000e-01, 1.931286e-01
145,42,2003-04-16,0,0,0,0,0,0,2003,4,16,-9999.0,22.6,-9999.0,-9999.0,7.9,1.69,2003,4,16,297.32,294.82,88.13,16.28,294.2,304.1,0.6,9.900000000000034,299.15,16,16.0, 2.668286e-01, 2.621429e-01, 2.182286e-01, 1.998714e-01
146,43,2003-04-23,0,0,0,0,0,0,2003,4,23,-9999.0,-9999.0,-9999.0,-9999.0,0.5,11.4,2003,4,23,296.3,296.17,99.43,17.7,295.4,297.8,55.7,2.400000000000034,296.6,17,17.0, 3.234429e-01, 2.931000e-01, 2.531714e-01, 2.852286e-01
147,44,2003-04-30,0,0,0,0,1,1,2003,4,30,33.3,23.4,28.3,9.9,1.0,5.56,2003,4,30,296.63,296.48,99.2,18.03,295.1,299,11.7,3.8999999999999773,297.05,18,18.0, 4.350571e-01, 3.348429e-01, 3.769143e-01, 2.636143e-01
148,45,2003-05-07,0,0,1,0,0,1,2003,5,7,31.6,-9999.0,-9999.0,-9999.0,0.0,4.38,2003,5,7,295.81,295.75,99.83,17.23,293.5,297.1,55.1,3.6000000000000227,295.3,19,19.0, 1.994286e-01, 1.477000e-01, 1.501000e-01, 1.834667e-01
149,46,2003-05-14,0,0,1,0,0,1,2003,5,14,31.8,22.3,27.0,9.5,57.9,7.58,2003,5,14,296.04,294.12,90.7,15.62,291.6,304,2.13,12.399999999999977,297.8,20,20.0, 2.454286e-01, 2.688857e-01, 1.847000e-01, 2.614571e-01
150,47,2003-05-21,0,0,1,0,0,1,2003,5,21,31.2,23.7,27.5,7.5,0.0,19.93,2003,5,21,297.08,296.33,95.82,17.89,294.1,303.6,4.7,9.5,298.85,21,21.0, 1.892571e-01, 1.707429e-01, 1.669500e-01, 1.843000e-01
151,48,2003-05-28,0,0,1,0,0,1,2003,5,28,32.1,-9999.0,-9999.0,-9999.0,6.1,42.73,2003,5,28,295.9,295.77,99.45,17.24,295,297.7,4.1,2.6999999999999886,296.35,22,22.0, 2.411429e-01, 2.544571e-01, 1.987000e-01, 2.537286e-01
152,49,2003-06-04,0,0,1,0,1,2,2003,6,4,-9999.0,21.6,-9999.0,-9999.0,0.0,8.4,2003,6,4,297.32,295.67,91.42,17.17,293.8,301.2,1.7,7.399999999999977,297.5,23,23.0, 2.369571e-01, 2.074000e-01, 1.213143e-01, 1.923143e-01
153,50,2003-06-11,0,0,2,0,1,3,2003,6,11,33.5,21.8,27.6,11.7,0.0,4.66,2003,6,11,296.26,292.98,84.38,14.49,291,304.2,0,13.199999999999989,297.6,24,24.0, 3.135857e-01, 2.809143e-01, 3.539833e-01, 2.658571e-01
154,51,2003-06-18,0,0,3,0,1,4,2003,6,18,-9999.0,22.5,-9999.0,-9999.0,0.0,19.76,2003,6,18,296.03,294.1,90.28,15.55,293.4,301.4,1.3,8,297.4,25,25.0, 3.237000e-01, 2.723143e-01, 2.755000e-01, 3.547571e-01
