,season,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases
0,1990/1991,1,1990-04-30,0,0,0,0,4,0,4
1,1990/1991,2,1990-05-07,0,0,0,0,5,0,5
2,1990/1991,3,1990-05-14,0,0,0,0,4,0,4
3,1990/1991,4,1990-05-21,0,0,0,0,3,0,3
4,1990/1991,5,1990-05-28,0,0,0,0,6,0,6
5,1990/1991,6,1990-06-04,1,0,0,0,1,0,2
6,1990/1991,7,1990-06-11,0,0,0,0,4,0,4
7,1990/1991,8,1990-06-18,0,0,0,0,5,0,5
8,1990/1991,9,1990-06-25,2,0,0,0,8,0,10
9,1990/1991,10,1990-07-02,0,0,0,1,5,0,6
10,1990/1991,11,1990-07-09,0,0,0,0,8,0,8
11,1990/1991,12,1990-07-16,0,0,0,0,2,0,2
12,1990/1991,13,1990-07-23,0,2,0,0,4,0,6
13,1990/1991,14,1990-07-30,0,1,0,1,15,0,17
14,1990/1991,15,1990-08-06,1,1,0,0,21,0,23
15,1990/1991,16,1990-08-13,0,1,0,1,11,0,13
16,1990/1991,17,1990-08-20,0,0,0,1,20,0,21
17,1990/1991,18,1990-08-27,0,3,0,0,25,0,28
18,1990/1991,19,1990-09-03,1,2,0,3,18,0,24
19,1990/1991,20,1990-09-10,0,1,0,0,19,0,20
20,1990/1991,21,1990-09-17,0,4,0,0,36,0,40
21,1990/1991,22,1990-09-24,0,1,0,1,25,0,27
22,1990/1991,23,1990-10-01,0,3,0,4,35,0,42
23,1990/1991,24,1990-10-08,0,2,0,0,31,0,33
24,1990/1991,25,1990-10-15,0,3,0,0,40,0,43
25,1990/1991,26,1990-10-22,1,2,0,1,33,0,37
26,1990/1991,27,1990-10-29,0,4,0,1,52,0,57
27,1990/1991,28,1990-11-05,0,1,0,3,67,0,71
28,1990/1991,29,1990-11-12,0,0,0,1,43,0,44
29,1990/1991,30,1990-11-19,0,0,0,0,56,0,56
30,1990/1991,31,1990-11-26,0,0,0,3,49,1,53
31,1990/1991,32,1990-12-03,2,2,0,1,47,0,52
32,1990/1991,33,1990-12-10,1,3,0,5,38,0,47
33,1990/1991,34,1990-12-17,0,3,0,1,22,0,26
34,1990/1991,35,1990-12-24,0,2,0,0,25,0,27
35,1990/1991,36,1991-01-01,0,2,0,1,18,0,21
36,1990/1991,37,1991-01-08,0,1,0,3,17,0,21
37,1990/1991,38,1991-01-15,0,0,0,1,25,0,26
38,1990/1991,39,1991-01-22,0,0,0,0,34,0,34
39,1990/1991,40,1991-01-29,0,3,0,0,34,0,37
40,1990/1991,41,1991-02-05,0,0,0,2,15,0,17
41,1990/1991,42,1991-02-12,1,1,0,0,17,0,19
42,1990/1991,43,1991-02-19,1,3,0,0,21,0,25
43,1990/1991,44,1991-02-26,0,0,0,1,17,0,18
44,1990/1991,45,1991-03-05,1,1,0,1,18,0,21
45,1990/1991,46,1991-03-12,0,0,0,0,17,0,17
46,1990/1991,47,1991-03-19,0,0,0,0,17,0,17
47,1990/1991,48,1991-03-26,1,2,0,1,12,0,16
48,1990/1991,49,1991-04-02,0,2,0,1,13,0,16
49,1990/1991,50,1991-04-09,0,0,0,1,14,0,15
50,1990/1991,51,1991-04-16,1,0,0,0,22,0,23
51,1990/1991,52,1991-04-23,0,2,0,0,14,0,16
52,1991/1992,1,1991-04-30,0,1,0,0,16,0,17
53,1991/1992,2,1991-05-07,0,0,0,0,12,0,12
54,1991/1992,3,1991-05-14,1,2,0,0,14,0,17
55,1991/1992,4,1991-05-21,0,2,0,0,8,0,10
56,1991/1992,5,1991-05-28,0,1,0,0,14,0,15
57,1991/1992,6,1991-06-04,2,1,0,1,15,0,19
58,1991/1992,7,1991-06-11,0,2,0,4,15,0,21
59,1991/1992,8,1991-06-18,0,2,0,2,10,0,14
60,1991/1992,9,1991-06-25,4,0,0,1,13,0,18
61,1991/1992,10,1991-07-02,0,0,0,4,9,0,13
62,1991/1992,11,1991-07-09,0,0,0,1,13,0,14
63,1991/1992,12,1991-07-16,0,0,0,0,17,1,18
64,1991/1992,13,1991-07-23,0,0,0,0,23,0,23
65,1991/1992,14,1991-07-30,0,1,0,1,23,0,25
66,1991/1992,15,1991-08-06,8,3,0,1,50,0,62
67,1991/1992,16,1991-08-13,3,4,0,0,53,0,60
68,1991/1992,17,1991-08-20,6,9,0,1,60,0,76
69,1991/1992,18,1991-08-27,7,0,0,4,55,0,66
70,1991/1992,19,1991-09-03,5,4,0,0,55,0,64
71,1991/1992,20,1991-09-10,1,2,0,2,63,0,68
72,1991/1992,21,1991-09-17,1,2,0,0,86,0,89
73,1991/1992,22,1991-09-24,7,6,0,1,78,0,92
74,1991/1992,23,1991-10-01,1,8,0,2,129,0,140
75,1991/1992,24,1991-10-08,0,4,0,0,110,2,116
76,1991/1992,25,1991-10-15,7,4,0,4,127,0,142
77,1991/1992,26,1991-10-22,14,3,0,2,108,2,129
78,1991/1992,27,1991-10-29,6,3,0,4,126,1,140
79,1991/1992,28,1991-11-05,10,1,0,3,126,0,140
80,1991/1992,29,1991-11-12,5,6,0,5,111,0,127
81,1991/1992,30,1991-11-19,8,5,0,4,111,1,129
82,1991/1992,31,1991-11-26,11,3,0,6,148,1,169
83,1991/1992,32,1991-12-03,3,3,0,3,131,1,141
84,1991/1992,33,1991-12-10,4,5,0,4,95,0,108
85,1991/1992,34,1991-12-17,1,2,0,2,69,4,78
86,1991/1992,35,1991-12-24,0,1,0,3,64,2,70
87,1991/1992,36,1992-01-01,0,1,0,1,63,16,81
88,1991/1992,37,1992-01-08,2,2,0,5,89,6,104
89,1991/1992,38,1992-01-15,4,2,0,1,79,4,90
90,1991/1992,39,1992-01-22,1,1,0,0,83,0,85
91,1991/1992,40,1992-01-29,0,0,0,2,51,2,55
92,1991/1992,41,1992-02-05,0,0,0,3,43,7,53
93,1991/1992,42,1992-02-12,2,2,0,1,54,6,65
94,1991/1992,43,1992-02-19,1,0,0,1,31,0,33
95,1991/1992,44,1992-02-26,3,2,0,1,32,0,38
96,1991/1992,45,1992-03-04,5,1,0,1,52,0,59
97,1991/1992,46,1992-03-11,3,1,0,3,33,0,40
98,1991/1992,47,1992-03-18,1,0,0,0,36,0,37
99,1991/1992,48,1992-03-25,2,0,0,1,26,0,29
100,1991/1992,49,1992-04-01,2,0,0,0,28,0,30
101,1991/1992,50,1992-04-08,1,2,0,0,27,0,30
102,1991/1992,51,1992-04-15,1,0,0,0,27,0,28
103,1991/1992,52,1992-04-22,2,0,0,0,21,0,23
104,1992/1993,1,1992-04-29,0,0,0,1,23,0,24
105,1992/1993,2,1992-05-06,2,2,0,0,25,0,29
106,1992/1993,3,1992-05-13,3,1,0,0,22,0,26
107,1992/1993,4,1992-05-20,1,0,0,1,21,0,23
108,1992/1993,5,1992-05-27,4,0,0,0,16,0,20
109,1992/1993,6,1992-06-03,0,0,0,0,19,0,19
110,1992/1993,7,1992-06-10,1,0,0,0,19,0,20
111,1992/1993,8,1992-06-17,3,0,0,2,21,0,26
112,1992/1993,9,1992-06-24,0,0,0,2,27,0,29
113,1992/1993,10,1992-07-01,2,0,0,1,28,0,31
114,1992/1993,11,1992-07-08,0,0,0,0,28,0,28
115,1992/1993,12,1992-07-15,0,0,0,0,26,0,26
116,1992/1993,13,1992-07-22,3,1,0,1,27,0,32
117,1992/1993,14,1992-07-29,2,3,0,3,25,2,35
118,1992/1993,15,1992-08-05,4,2,0,1,22,4,33
119,1992/1993,16,1992-08-12,2,0,0,1,21,6,30
120,1992/1993,17,1992-08-19,9,4,0,2,24,13,52
121,1992/1993,18,1992-08-26,7,5,0,0,34,13,59
122,1992/1993,19,1992-09-02,11,2,0,1,33,20,67
123,1992/1993,20,1992-09-09,8,2,0,4,37,14,65
124,1992/1993,21,1992-09-16,4,1,0,1,45,23,74
125,1992/1993,22,1992-09-23,6,4,0,0,40,20,70
126,1992/1993,23,1992-09-30,9,4,0,1,29,18,61
127,1992/1993,24,1992-10-07,4,2,0,1,31,15,53
128,1992/1993,25,1992-10-14,2,1,0,0,44,29,76
129,1992/1993,26,1992-10-21,0,1,0,0,27,33,61
130,1992/1993,27,1992-10-28,3,0,0,1,31,22,57
131,1992/1993,28,1992-11-04,7,2,0,0,22,13,44
132,1992/1993,29,1992-11-11,0,1,0,1,19,13,34
133,1992/1993,30,1992-11-18,0,1,0,0,23,23,47
134,1992/1993,31,1992-11-25,0,0,0,0,35,25,60
135,1992/1993,32,1992-12-02,0,0,0,1,35,24,60
136,1992/1993,33,1992-12-09,1,0,0,0,28,24,53
137,1992/1993,34,1992-12-16,0,1,0,1,22,12,36
138,1992/1993,35,1992-12-23,1,1,0,0,23,6,31
139,1992/1993,36,1993-01-01,3,0,0,0,23,4,30
140,1992/1993,37,1993-01-08,0,0,0,1,26,5,32
141,1992/1993,38,1993-01-15,0,1,0,0,27,0,28
142,1992/1993,39,1993-01-22,0,2,0,0,28,3,33
143,1992/1993,40,1993-01-29,4,3,0,0,24,2,33
144,1992/1993,41,1993-02-05,2,0,0,0,33,0,35
145,1992/1993,42,1993-02-12,0,0,0,1,21,0,22
146,1992/1993,43,1993-02-19,1,0,0,0,12,0,13
147,1992/1993,44,1993-02-26,2,0,0,0,11,0,13
148,1992/1993,45,1993-03-05,0,1,0,0,20,0,21
149,1992/1993,46,1993-03-12,2,1,0,0,14,0,17
150,1992/1993,47,1993-03-19,0,1,0,0,10,0,11
151,1992/1993,48,1993-03-26,2,0,0,0,6,0,8
152,1992/1993,49,1993-04-02,0,0,0,0,8,0,8
153,1992/1993,50,1993-04-09,0,0,0,1,5,0,6
154,1992/1993,51,1993-04-16,0,1,0,0,5,0,6
155,1992/1993,52,1993-04-23,1,0,0,0,6,0,7
156,1993/1994,1,1993-04-30,1,1,0,0,10,0,12
157,1993/1994,2,1993-05-07,1,1,0,0,15,0,17
158,1993/1994,3,1993-05-14,0,0,0,0,10,0,10
159,1993/1994,4,1993-05-21,0,0,0,1,9,0,10
160,1993/1994,5,1993-05-28,0,0,0,0,18,0,18
161,1993/1994,6,1993-06-04,0,0,0,0,18,1,19
162,1993/1994,7,1993-06-11,0,0,0,0,12,0,12
163,1993/1994,8,1993-06-18,0,2,0,0,18,2,22
164,1993/1994,9,1993-06-25,4,1,0,0,7,0,12
165,1993/1994,10,1993-07-02,0,1,0,0,20,0,21
166,1993/1994,11,1993-07-09,1,1,0,0,16,0,18
167,1993/1994,12,1993-07-16,0,3,0,1,12,0,16
168,1993/1994,13,1993-07-23,1,0,0,0,15,0,16
169,1993/1994,14,1993-07-30,2,1,0,1,18,0,22
170,1993/1994,15,1993-08-06,0,1,0,0,16,0,17
171,1993/1994,16,1993-08-13,1,1,0,1,22,0,25
172,1993/1994,17,1993-08-20,0,2,0,2,18,1,23
173,1993/1994,18,1993-08-27,1,1,0,1,9,0,12
174,1993/1994,19,1993-09-03,2,2,0,1,19,1,25
175,1993/1994,20,1993-09-10,0,1,0,0,27,0,28
176,1993/1994,21,1993-09-17,3,2,0,2,20,0,27
177,1993/1994,22,1993-09-24,1,1,0,0,16,0,18
178,1993/1994,23,1993-10-01,1,1,0,0,21,0,23
179,1993/1994,24,1993-10-08,1,3,0,0,18,1,23
180,1993/1994,25,1993-10-15,1,2,0,0,26,0,29
181,1993/1994,26,1993-10-22,4,6,0,0,27,1,38
182,1993/1994,27,1993-10-29,2,3,0,2,28,1,36
183,1993/1994,28,1993-11-05,6,7,0,3,27,0,43
184,1993/1994,29,1993-11-12,5,5,0,0,34,2,46
185,1993/1994,30,1993-11-19,6,5,0,0,18,2,31
186,1993/1994,31,1993-11-26,2,5,0,0,18,0,25
187,1993/1994,32,1993-12-03,7,4,0,2,22,5,40
188,1993/1994,33,1993-12-10,2,3,0,1,20,5,31
189,1993/1994,34,1993-12-17,1,2,0,0,32,3,38
190,1993/1994,35,1993-12-24,5,7,0,1,17,0,30
191,1993/1994,36,1994-01-01,2,3,0,0,17,0,22
192,1993/1994,37,1994-01-08,2,5,0,0,24,0,31
193,1993/1994,38,1994-01-15,3,4,0,0,19,0,26
194,1993/1994,39,1994-01-22,4,5,0,1,23,2,35
195,1993/1994,40,1994-01-29,3,9,0,1,21,2,36
196,1993/1994,41,1994-02-05,4,7,0,2,24,2,39
197,1993/1994,42,1994-02-12,6,5,0,1,13,0,25
198,1993/1994,43,1994-02-19,1,2,0,1,27,0,31
199,1993/1994,44,1994-02-26,3,5,0,2,27,0,37
200,1993/1994,45,1994-03-05,6,3,0,1,23,0,33
201,1993/1994,46,1994-03-12,4,3,0,1,17,0,25
202,1993/1994,47,1994-03-19,4,4,0,2,14,0,24
203,1993/1994,48,1994-03-26,0,1,0,0,17,0,18
204,1993/1994,49,1994-04-02,0,4,0,0,19,0,23
205,1993/1994,50,1994-04-09,0,2,0,0,11,0,13
206,1993/1994,51,1994-04-16,2,1,0,0,15,0,18
207,1993/1994,52,1994-04-23,1,3,0,0,10,0,14
208,1994/1995,1,1994-04-30,2,1,0,1,13,0,17
209,1994/1995,2,1994-05-07,2,4,0,0,16,0,22
210,1994/1995,3,1994-05-14,2,0,0,0,11,0,13
211,1994/1995,4,1994-05-21,2,3,0,2,17,0,24
212,1994/1995,5,1994-05-28,2,7,0,0,22,0,31
213,1994/1995,6,1994-06-04,3,5,0,2,23,1,34
214,1994/1995,7,1994-06-11,3,4,0,2,22,0,31
215,1994/1995,8,1994-06-18,4,2,0,3,21,1,31
216,1994/1995,9,1994-06-25,1,7,0,5,23,2,38
217,1994/1995,10,1994-07-02,2,4,0,2,40,1,49
218,1994/1995,11,1994-07-09,1,6,0,0,28,7,42
219,1994/1995,12,1994-07-16,0,7,0,2,33,7,49
220,1994/1995,13,1994-07-23,1,8,0,6,34,6,55
221,1994/1995,14,1994-07-30,4,18,0,1,46,11,80
222,1994/1995,15,1994-08-06,0,14,0,8,51,11,84
223,1994/1995,16,1994-08-13,3,10,0,3,49,7,72
224,1994/1995,17,1994-08-20,4,12,0,0,65,8,89
225,1994/1995,18,1994-08-27,2,12,0,3,64,34,115
226,1994/1995,19,1994-09-03,6,10,0,4,91,68,179
227,1994/1995,20,1994-09-10,1,14,0,3,59,125,202
228,1994/1995,21,1994-09-17,2,6,0,3,96,165,272
229,1994/1995,22,1994-09-24,9,14,0,6,90,183,302
230,1994/1995,23,1994-10-01,0,12,0,2,120,261,395
231,1994/1995,24,1994-10-08,2,24,0,7,137,256,426
232,1994/1995,25,1994-10-15,3,16,0,4,148,290,461
233,1994/1995,26,1994-10-22,6,13,0,1,111,250,381
234,1994/1995,27,1994-10-29,2,10,0,3,82,236,333
235,1994/1995,28,1994-11-05,2,12,0,1,73,265,353
236,1994/1995,29,1994-11-12,3,5,0,1,64,337,410
237,1994/1995,30,1994-11-19,2,1,0,1,114,246,364
238,1994/1995,31,1994-11-26,3,4,0,1,112,239,359
239,1994/1995,32,1994-12-03,2,8,0,6,78,194,288
240,1994/1995,33,1994-12-10,1,6,0,2,81,131,221
241,1994/1995,34,1994-12-17,4,9,0,0,48,88,149
242,1994/1995,35,1994-12-24,3,7,0,3,41,58,112
243,1994/1995,36,1995-01-01,3,6,0,1,65,79,154
244,1994/1995,37,1995-01-08,0,9,0,0,40,42,91
245,1994/1995,38,1995-01-15,1,3,0,2,51,15,72
246,1994/1995,39,1995-01-22,3,5,0,2,41,5,56
247,1994/1995,40,1995-01-29,5,2,0,3,26,10,46
248,1994/1995,41,1995-02-05,0,0,0,0,31,6,37
249,1994/1995,42,1995-02-12,0,0,0,1,20,5,26
250,1994/1995,43,1995-02-19,0,1,0,0,16,0,17
251,1994/1995,44,1995-02-26,0,0,0,1,15,1,17
252,1994/1995,45,1995-03-05,0,1,0,0,16,3,20
253,1994/1995,46,1995-03-12,1,0,0,0,10,0,11
254,1994/1995,47,1995-03-19,1,0,0,0,6,0,7
255,1994/1995,48,1995-03-26,2,0,0,1,13,0,16
256,1994/1995,49,1995-04-02,2,0,0,1,10,1,14
257,1994/1995,50,1995-04-09,1,3,0,1,11,0,16
258,1994/1995,51,1995-04-16,1,0,0,0,4,0,5
259,1994/1995,52,1995-04-23,0,0,0,0,2,0,2
260,1995/1996,1,1995-04-30,0,0,0,0,6,0,6
261,1995/1996,2,1995-05-07,0,1,0,0,4,0,5
262,1995/1996,3,1995-05-14,0,0,0,1,3,0,4
263,1995/1996,4,1995-05-21,0,0,0,0,3,0,3
264,1995/1996,5,1995-05-28,0,0,0,0,4,0,4
265,1995/1996,6,1995-06-04,2,1,0,1,12,0,16
266,1995/1996,7,1995-06-11,1,0,0,1,6,0,8
267,1995/1996,8,1995-06-18,0,0,0,0,6,1,7
268,1995/1996,9,1995-06-25,1,0,0,1,7,1,10
269,1995/1996,10,1995-07-02,1,0,0,0,11,2,14
270,1995/1996,11,1995-07-09,0,0,0,1,6,0,7
271,1995/1996,12,1995-07-16,1,1,0,1,5,1,9
272,1995/1996,13,1995-07-23,0,0,0,0,10,1,11
273,1995/1996,14,1995-07-30,1,4,0,0,15,3,23
274,1995/1996,15,1995-08-06,0,2,0,1,11,3,17
275,1995/1996,16,1995-08-13,0,0,0,1,17,1,19
276,1995/1996,17,1995-08-20,0,1,0,1,18,4,24
277,1995/1996,18,1995-08-27,0,1,0,0,13,3,17
278,1995/1996,19,1995-09-03,4,1,0,0,21,2,28
279,1995/1996,20,1995-09-10,1,2,0,5,30,2,40
280,1995/1996,21,1995-09-17,4,1,0,0,26,2,33
281,1995/1996,22,1995-09-24,2,3,0,1,21,4,31
282,1995/1996,23,1995-10-01,2,1,0,2,25,3,33
283,1995/1996,24,1995-10-08,2,1,0,0,26,0,29
284,1995/1996,25,1995-10-15,2,3,0,3,19,3,30
285,1995/1996,26,1995-10-22,1,1,0,1,27,6,36
286,1995/1996,27,1995-10-29,3,3,0,2,34,6,48
287,1995/1996,28,1995-11-05,0,0,0,2,28,10,40
288,1995/1996,29,1995-11-12,0,1,0,1,14,12,28
289,1995/1996,30,1995-11-19,0,1,0,1,28,6,36
290,1995/1996,31,1995-11-26,0,0,0,1,16,2,19
291,1995/1996,32,1995-12-03,0,0,0,0,18,16,34
292,1995/1996,33,1995-12-10,0,0,0,1,12,10,23
293,1995/1996,34,1995-12-17,0,0,0,1,13,3,17
294,1995/1996,35,1995-12-24,0,0,0,0,15,2,17
295,1995/1996,36,1996-01-01,0,1,0,1,20,1,23
296,1995/1996,37,1996-01-08,1,0,0,1,12,0,14
297,1995/1996,38,1996-01-15,2,0,0,0,18,0,20
298,1995/1996,39,1996-01-22,1,0,0,0,12,0,13
299,1995/1996,40,1996-01-29,0,1,0,0,20,2,23
300,1995/1996,41,1996-02-05,1,0,0,3,14,2,20
301,1995/1996,42,1996-02-12,0,0,0,0,16,0,16
302,1995/1996,43,1996-02-19,0,1,0,0,14,1,16
303,1995/1996,44,1996-02-26,2,0,0,0,19,2,23
304,1995/1996,45,1996-03-04,1,1,0,1,11,0,14
305,1995/1996,46,1996-03-11,0,0,0,1,10,4,15
306,1995/1996,47,1996-03-18,0,0,0,0,3,1,4
307,1995/1996,48,1996-03-25,0,1,0,0,4,0,5
308,1995/1996,49,1996-04-01,0,0,0,0,4,1,5
309,1995/1996,50,1996-04-08,2,1,0,1,4,3,11
310,1995/1996,51,1996-04-15,0,0,0,1,9,1,11
311,1995/1996,52,1996-04-22,2,0,0,0,4,1,7
312,1996/1997,1,1996-04-29,1,0,0,0,3,0,4
313,1996/1997,2,1996-05-06,0,0,0,1,5,0,6
314,1996/1997,3,1996-05-13,0,0,0,2,3,0,5
315,1996/1997,4,1996-05-20,0,0,0,0,2,0,2
316,1996/1997,5,1996-05-27,0,0,0,1,3,0,4
317,1996/1997,6,1996-06-03,0,0,0,0,2,0,2
318,1996/1997,7,1996-06-10,0,0,0,1,2,1,4
319,1996/1997,8,1996-06-17,3,1,0,0,2,0,6
320,1996/1997,9,1996-06-24,2,0,0,1,3,0,6
321,1996/1997,10,1996-07-01,0,1,0,2,0,1,4
322,1996/1997,11,1996-07-08,0,0,0,2,2,2,6
323,1996/1997,12,1996-07-15,1,2,0,1,5,2,11
324,1996/1997,13,1996-07-22,2,1,0,0,10,3,16
325,1996/1997,14,1996-07-29,1,0,0,2,5,1,9
