,season,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,total_cases
0,2000/2001,1,2000-07-01,0,0,0,0,0,0
1,2000/2001,2,2000-07-08,0,0,0,0,0,0
2,2000/2001,3,2000-07-15,0,0,0,0,0,0
3,2000/2001,4,2000-07-22,0,0,0,0,0,0
4,2000/2001,5,2000-07-29,0,0,0,0,0,0
5,2000/2001,6,2000-08-05,0,0,0,0,0,0
6,2000/2001,7,2000-08-12,0,0,0,0,0,0
7,2000/2001,8,2000-08-19,0,0,0,0,0,0
8,2000/2001,9,2000-08-26,0,0,0,0,0,0
9,2000/2001,10,2000-09-02,0,0,0,0,0,0
10,2000/2001,11,2000-09-09,0,0,0,0,1,1
11,2000/2001,12,2000-09-16,0,0,0,0,0,0
12,2000/2001,13,2000-09-23,0,0,0,0,0,0
13,2000/2001,14,2000-09-30,0,0,0,0,0,0
14,2000/2001,15,2000-10-07,0,0,0,0,0,0
15,2000/2001,16,2000-10-14,0,0,0,0,1,1
16,2000/2001,17,2000-10-21,0,0,0,0,1,1
17,2000/2001,18,2000-10-28,0,0,0,0,0,0
18,2000/2001,19,2000-11-04,0,0,0,0,0,0
19,2000/2001,20,2000-11-11,0,0,0,0,0,0
20,2000/2001,21,2000-11-18,0,0,0,0,0,0
21,2000/2001,22,2000-11-25,0,0,0,0,0,0
22,2000/2001,23,2000-12-02,0,0,0,0,0,0
23,2000/2001,24,2000-12-09,0,0,0,0,0,0
24,2000/2001,25,2000-12-16,0,0,0,0,1,1
25,2000/2001,26,2000-12-23,0,0,0,0,0,0
26,2000/2001,27,2001-01-01,0,0,0,0,0,0
27,2000/2001,28,2001-01-08,0,0,0,0,0,0
28,2000/2001,29,2001-01-15,0,0,0,0,0,0
29,2000/2001,30,2001-01-22,0,0,0,0,0,0
30,2000/2001,31,2001-01-29,0,0,0,0,0,0
31,2000/2001,32,2001-02-05,0,0,0,0,0,0
32,2000/2001,33,2001-02-12,0,0,0,0,0,0
33,2000/2001,34,2001-02-19,0,0,0,0,0,0
34,2000/2001,35,2001-02-26,0,0,0,0,0,0
35,2000/2001,36,2001-03-05,0,0,0,0,0,0
36,2000/2001,37,2001-03-12,0,0,0,0,0,0
37,2000/2001,38,2001-03-19,0,0,0,0,0,0
38,2000/2001,39,2001-03-26,0,0,0,0,0,0
39,2000/2001,40,2001-04-02,0,0,0,0,0,0
40,2000/2001,41,2001-04-09,0,0,0,0,0,0
41,2000/2001,42,2001-04-16,0,0,0,0,1,1
42,2000/2001,43,2001-04-23,0,0,0,0,0,0
43,2000/2001,44,2001-04-30,0,0,0,0,0,0
44,2000/2001,45,2001-05-07,0,0,0,0,0,0
45,2000/2001,46,2001-05-14,0,0,0,0,0,0
46,2000/2001,47,2001-05-21,0,0,0,0,1,1
47,2000/2001,48,2001-05-28,1,0,0,0,0,1
48,2000/2001,49,2001-06-04,0,0,0,0,0,0
49,2000/2001,50,2001-06-11,0,0,0,0,0,0
50,2000/2001,51,2001-06-18,0,0,0,0,1,1
51,2000/2001,52,2001-06-25,0,0,0,0,0,0
52,2001/2002,1,2001-07-02,0,0,0,0,0,0
53,2001/2002,2,2001-07-09,0,0,0,0,0,0
54,2001/2002,3,2001-07-16,0,0,0,0,0,0
55,2001/2002,4,2001-07-23,0,0,0,0,0,0
56,2001/2002,5,2001-07-30,0,0,0,0,0,0
57,2001/2002,6,2001-08-06,0,0,0,0,0,0
58,2001/2002,7,2001-08-13,0,0,0,0,0,0
59,2001/2002,8,2001-08-20,0,0,0,0,0,0
60,2001/2002,9,2001-08-27,0,0,0,0,0,0
61,2001/2002,10,2001-09-03,0,0,0,0,0,0
62,2001/2002,11,2001-09-10,0,0,0,0,0,0
63,2001/2002,12,2001-09-17,0,0,0,0,0,0
64,2001/2002,13,2001-09-24,0,0,0,0,0,0
65,2001/2002,14,2001-10-01,0,0,0,0,0,0
66,2001/2002,15,2001-10-08,0,0,0,0,0,0
67,2001/2002,16,2001-10-15,0,0,0,0,0,0
68,2001/2002,17,2001-10-22,0,0,0,0,0,0
69,2001/2002,18,2001-10-29,0,0,0,0,0,0
70,2001/2002,19,2001-11-05,0,0,0,0,0,0
71,2001/2002,20,2001-11-12,0,0,0,0,0,0
72,2001/2002,21,2001-11-19,0,0,0,0,1,1
73,2001/2002,22,2001-11-26,0,0,0,0,1,1
74,2001/2002,23,2001-12-03,0,0,1,0,0,1
75,2001/2002,24,2001-12-10,1,0,0,0,1,2
76,2001/2002,25,2001-12-17,2,0,0,0,2,4
77,2001/2002,26,2001-12-24,0,0,0,0,1,1
78,2001/2002,27,2002-01-01,2,0,1,0,1,4
79,2001/2002,28,2002-01-08,5,0,3,0,3,11
80,2001/2002,29,2002-01-15,4,0,7,0,5,16
81,2001/2002,30,2002-01-22,7,1,5,0,10,23
82,2001/2002,31,2002-01-29,8,2,1,0,1,12
83,2001/2002,32,2002-02-05,3,1,1,0,9,14
84,2001/2002,33,2002-02-12,7,1,3,0,7,18
85,2001/2002,34,2002-02-19,3,0,2,0,3,8
86,2001/2002,35,2002-02-26,2,0,2,0,3,7
87,2001/2002,36,2002-03-05,3,0,6,0,1,10
88,2001/2002,37,2002-03-12,2,0,3,0,2,7
89,2001/2002,38,2002-03-19,2,1,5,0,2,10
90,2001/2002,39,2002-03-26,0,0,3,0,2,5
91,2001/2002,40,2002-04-02,1,0,8,0,2,11
92,2001/2002,41,2002-04-09,1,0,4,0,3,8
93,2001/2002,42,2002-04-16,1,0,12,0,5,18
94,2001/2002,43,2002-04-23,2,1,6,0,4,13
95,2001/2002,44,2002-04-30,0,0,7,0,2,9
96,2001/2002,45,2002-05-07,2,0,15,0,5,22
97,2001/2002,46,2002-05-14,1,1,4,0,4,10
98,2001/2002,47,2002-05-21,0,0,4,0,1,5
99,2001/2002,48,2002-05-28,0,1,7,0,5,13
100,2001/2002,49,2002-06-04,0,0,0,0,2,2
101,2001/2002,50,2002-06-11,0,0,6,0,5,11
102,2001/2002,51,2002-06-18,0,0,6,0,5,11
103,2001/2002,52,2002-06-25,0,0,1,0,2,3
104,2002/2003,1,2002-07-02,0,0,2,0,5,7
105,2002/2003,2,2002-07-09,1,0,3,0,3,7
106,2002/2003,3,2002-07-16,0,0,1,0,3,4
107,2002/2003,4,2002-07-23,0,0,2,0,3,5
108,2002/2003,5,2002-07-30,0,0,5,0,1,6
109,2002/2003,6,2002-08-06,0,0,4,0,3,7
110,2002/2003,7,2002-08-13,0,0,3,0,4,7
111,2002/2003,8,2002-08-20,0,0,1,0,3,4
112,2002/2003,9,2002-08-27,1,0,4,0,4,9
113,2002/2003,10,2002-09-03,1,0,12,0,4,17
114,2002/2003,11,2002-09-10,0,0,5,0,3,8
115,2002/2003,12,2002-09-17,0,0,21,0,1,22
116,2002/2003,13,2002-09-24,0,0,16,0,2,18
117,2002/2003,14,2002-10-01,0,0,16,0,5,21
118,2002/2003,15,2002-10-08,0,0,13,0,3,16
119,2002/2003,16,2002-10-15,0,0,19,0,12,31
120,2002/2003,17,2002-10-22,0,0,16,0,9,25
121,2002/2003,18,2002-10-29,0,0,21,0,7,28
122,2002/2003,19,2002-11-05,0,0,18,0,8,26
123,2002/2003,20,2002-11-12,0,0,6,0,12,18
124,2002/2003,21,2002-11-19,0,0,11,0,16,27
125,2002/2003,22,2002-11-26,0,0,8,0,3,11
126,2002/2003,23,2002-12-03,0,0,22,0,16,38
127,2002/2003,24,2002-12-10,0,0,21,0,8,29
128,2002/2003,25,2002-12-17,0,0,18,0,3,21
129,2002/2003,26,2002-12-24,0,0,9,0,2,11
130,2002/2003,27,2003-01-01,0,0,8,0,2,10
131,2002/2003,28,2003-01-08,0,0,3,0,2,5
132,2002/2003,29,2003-01-15,0,0,5,0,1,6
133,2002/2003,30,2003-01-22,0,0,1,0,1,2
134,2002/2003,31,2003-01-29,0,0,0,0,1,1
135,2002/2003,32,2003-02-05,0,0,1,0,1,2
136,2002/2003,33,2003-02-12,0,0,1,0,1,2
137,2002/2003,34,2003-02-19,0,0,2,0,1,3
138,2002/2003,35,2003-02-26,0,0,3,0,2,5
139,2002/2003,36,2003-03-05,0,0,0,0,1,1
140,2002/2003,37,2003-03-12,0,0,1,0,3,4
141,2002/2003,38,2003-03-19,0,0,0,0,2,2
142,2002/2003,39,2003-03-26,0,0,1,0,3,4
143,2002/2003,40,2003-04-02,0,0,0,0,0,0
144,2002/2003,41,2003-04-09,0,0,0,0,0,0
145,2002/2003,42,2003-04-16,0,0,0,0,0,0
146,2002/2003,43,2003-04-23,0,0,0,0,0,0
147,2002/2003,44,2003-04-30,0,0,0,0,1,1
148,2002/2003,45,2003-05-07,0,0,1,0,0,1
149,2002/2003,46,2003-05-14,0,0,1,0,0,1
150,2002/2003,47,2003-05-21,0,0,1,0,0,1
151,2002/2003,48,2003-05-28,0,0,1,0,0,1
152,2002/2003,49,2003-06-04,0,0,1,0,1,2
153,2002/2003,50,2003-06-11,0,0,2,0,1,3
154,2002/2003,51,2003-06-18,0,0,3,0,1,4
155,2002/2003,52,2003-06-25,0,0,4,0,2,6
156,2003/2004,1,2003-07-02,0,0,1,0,1,2
157,2003/2004,2,2003-07-09,0,0,2,0,0,2
158,2003/2004,3,2003-07-16,0,0,4,0,1,5
159,2003/2004,4,2003-07-23,0,0,0,0,1,1
160,2003/2004,5,2003-07-30,0,0,1,0,0,1
161,2003/2004,6,2003-08-06,0,0,0,0,0,0
162,2003/2004,7,2003-08-13,0,0,0,0,0,0
163,2003/2004,8,2003-08-20,0,0,0,0,0,0
164,2003/2004,9,2003-08-27,0,0,0,0,0,0
165,2003/2004,10,2003-09-03,0,0,1,0,1,2
166,2003/2004,11,2003-09-10,0,0,0,0,0,0
167,2003/2004,12,2003-09-17,0,0,2,0,1,3
168,2003/2004,13,2003-09-24,0,0,0,0,0,0
169,2003/2004,14,2003-10-01,0,0,0,0,0,0
170,2003/2004,15,2003-10-08,0,0,0,0,0,0
171,2003/2004,16,2003-10-15,0,0,1,0,1,2
172,2003/2004,17,2003-10-22,0,0,1,0,1,2
173,2003/2004,18,2003-10-29,0,0,0,0,3,3
174,2003/2004,19,2003-11-05,0,0,0,0,3,3
175,2003/2004,20,2003-11-12,0,0,0,0,3,3
176,2003/2004,21,2003-11-19,0,0,1,0,0,1
177,2003/2004,22,2003-11-26,0,0,1,0,1,2
178,2003/2004,23,2003-12-03,0,0,2,0,1,3
179,2003/2004,24,2003-12-10,0,0,4,0,2,6
180,2003/2004,25,2003-12-17,0,0,2,0,3,5
181,2003/2004,26,2003-12-24,0,0,0,0,1,1
182,2003/2004,27,2004-01-01,0,0,2,0,2,4
183,2003/2004,28,2004-01-08,0,0,3,0,2,5
184,2003/2004,29,2004-01-15,0,0,4,0,4,8
185,2003/2004,30,2004-01-22,0,0,2,0,3,5
186,2003/2004,31,2004-01-29,0,0,1,0,1,2
187,2003/2004,32,2004-02-05,0,0,1,0,2,3
188,2003/2004,33,2004-02-12,0,0,1,0,2,3
189,2003/2004,34,2004-02-19,0,0,0,0,1,1
190,2003/2004,35,2004-02-26,0,0,5,0,1,6
191,2003/2004,36,2004-03-04,0,0,3,0,1,4
192,2003/2004,37,2004-03-11,0,0,1,0,0,1
193,2003/2004,38,2004-03-18,0,0,1,0,1,2
194,2003/2004,39,2004-03-25,0,0,2,0,1,3
195,2003/2004,40,2004-04-01,0,0,0,0,1,1
196,2003/2004,41,2004-04-08,0,0,5,0,3,8
197,2003/2004,42,2004-04-15,0,0,2,0,2,4
198,2003/2004,43,2004-04-22,0,0,4,0,2,6
199,2003/2004,44,2004-04-29,0,0,3,0,4,7
200,2003/2004,45,2004-05-06,0,0,3,0,2,5
201,2003/2004,46,2004-05-13,0,0,5,0,3,8
202,2003/2004,47,2004-05-20,0,0,5,0,1,6
203,2003/2004,48,2004-05-27,0,0,3,0,2,5
204,2003/2004,49,2004-06-03,0,0,2,0,4,6
205,2003/2004,50,2004-06-10,0,0,4,0,2,6
206,2003/2004,51,2004-06-17,0,0,9,0,4,13
207,2003/2004,52,2004-06-24,0,0,0,0,2,2
208,2004/2005,1,2004-07-01,0,0,6,0,4,10
209,2004/2005,2,2004-07-08,0,0,2,0,1,3
210,2004/2005,3,2004-07-15,0,0,6,0,6,12
211,2004/2005,4,2004-07-22,0,0,5,0,2,7
212,2004/2005,5,2004-07-29,0,0,5,0,1,6
213,2004/2005,6,2004-08-05,0,0,3,0,2,5
214,2004/2005,7,2004-08-12,0,0,4,0,2,6
215,2004/2005,8,2004-08-19,0,0,5,0,1,6
216,2004/2005,9,2004-08-26,0,0,4,0,2,6
217,2004/2005,10,2004-09-02,0,0,7,0,1,8
218,2004/2005,11,2004-09-09,0,0,4,0,2,6
219,2004/2005,12,2004-09-16,0,0,5,0,4,9
220,2004/2005,13,2004-09-23,0,0,7,0,5,12
221,2004/2005,14,2004-09-30,0,0,11,0,8,19
222,2004/2005,15,2004-10-07,0,0,4,0,4,8
223,2004/2005,16,2004-10-14,0,0,12,0,4,16
224,2004/2005,17,2004-10-21,0,0,15,0,6,21
225,2004/2005,18,2004-10-28,0,0,5,0,1,6
226,2004/2005,19,2004-11-04,0,0,15,0,7,22
227,2004/2005,20,2004-11-11,0,0,23,0,14,37
228,2004/2005,21,2004-11-18,0,0,28,0,5,33
229,2004/2005,22,2004-11-25,0,0,15,0,3,18
230,2004/2005,23,2004-12-02,0,0,54,0,29,83
231,2004/2005,24,2004-12-09,0,0,49,0,67,116
232,2004/2005,25,2004-12-16,0,0,29,0,3,32
233,2004/2005,26,2004-12-23,0,0,6,0,1,7
234,2004/2005,27,2005-01-01,0,0,8,0,1,9
235,2004/2005,28,2005-01-08,0,0,9,0,1,10
236,2004/2005,29,2005-01-15,0,0,2,0,3,5
237,2004/2005,30,2005-01-22,0,0,4,0,4,8
238,2004/2005,31,2005-01-29,0,0,6,0,1,7
239,2004/2005,32,2005-02-05,0,0,7,0,1,8
240,2004/2005,33,2005-02-12,0,0,6,0,5,11
241,2004/2005,34,2005-02-19,0,0,5,0,1,6
242,2004/2005,35,2005-02-26,0,0,5,0,2,7
243,2004/2005,36,2005-03-05,0,0,6,0,1,7
244,2004/2005,37,2005-03-12,0,0,13,0,1,14
245,2004/2005,38,2005-03-19,0,0,6,0,1,7
246,2004/2005,39,2005-03-26,0,0,4,0,5,9
247,2004/2005,40,2005-04-02,0,0,9,0,4,13
248,2004/2005,41,2005-04-09,0,0,12,0,4,16
249,2004/2005,42,2005-04-16,0,0,2,0,5,7
250,2004/2005,43,2005-04-23,0,0,4,0,5,9
251,2004/2005,44,2005-04-30,0,0,1,0,1,2
252,2004/2005,45,2005-05-07,0,0,6,0,7,13
253,2004/2005,46,2005-05-14,0,0,4,0,4,8
254,2004/2005,47,2005-05-21,0,0,2,0,1,3
255,2004/2005,48,2005-05-28,0,0,2,0,3,5
256,2004/2005,49,2005-06-04,0,0,3,0,1,4
257,2004/2005,50,2005-06-11,0,0,6,0,2,8
258,2004/2005,51,2005-06-18,0,0,1,0,1,2
259,2004/2005,52,2005-06-25,0,0,2,0,1,3
260,2005/2006,1,2005-07-02,0,0,2,0,3,5
261,2005/2006,2,2005-07-09,0,0,4,0,3,7
262,2005/2006,3,2005-07-16,0,0,2,0,1,3
263,2005/2006,4,2005-07-23,0,0,5,0,0,5
264,2005/2006,5,2005-07-30,0,0,2,0,4,6
265,2005/2006,6,2005-08-06,0,0,4,0,1,5
266,2005/2006,7,2005-08-13,0,0,3,0,2,5
267,2005/2006,8,2005-08-20,0,0,1,0,3,4
268,2005/2006,9,2005-08-27,0,0,0,0,0,0
269,2005/2006,10,2005-09-03,0,0,0,0,0,0
270,2005/2006,11,2005-09-10,0,0,0,0,0,0
271,2005/2006,12,2005-09-17,0,0,0,0,0,0
272,2005/2006,13,2005-09-24,0,0,0,0,0,0
273,2005/2006,14,2005-10-01,0,0,1,0,1,2
274,2005/2006,15,2005-10-08,0,0,2,0,2,4
275,2005/2006,16,2005-10-15,0,0,2,0,2,4
276,2005/2006,17,2005-10-22,0,0,0,0,3,3
277,2005/2006,18,2005-10-29,0,0,1,0,2,3
278,2005/2006,19,2005-11-05,0,0,3,0,2,5
279,2005/2006,20,2005-11-12,0,0,3,0,3,6
280,2005/2006,21,2005-11-19,1,0,8,0,5,14
281,2005/2006,22,2005-11-26,0,0,1,0,2,3
282,2005/2006,23,2005-12-03,1,0,4,0,2,7
283,2005/2006,24,2005-12-10,0,0,7,0,4,11
284,2005/2006,25,2005-12-17,0,0,1,0,1,2
285,2005/2006,26,2005-12-24,0,0,2,0,4,6
286,2005/2006,27,2006-01-01,0,0,5,0,3,8
287,2005/2006,28,2006-01-08,0,0,14,0,11,25
288,2005/2006,29,2006-01-15,0,0,15,0,6,21
289,2005/2006,30,2006-01-22,0,0,6,0,4,10
290,2005/2006,31,2006-01-29,0,0,21,0,7,28
291,2005/2006,32,2006-02-05,1,0,24,0,14,39
292,2005/2006,33,2006-02-12,0,0,9,0,11,20
293,2005/2006,34,2006-02-19,0,0,18,0,6,24
294,2005/2006,35,2006-02-26,0,0,24,0,4,28
295,2005/2006,36,2006-03-05,0,0,23,0,3,26
296,2005/2006,37,2006-03-12,0,0,7,0,1,8
297,2005/2006,38,2006-03-19,0,0,6,0,3,9
298,2005/2006,39,2006-03-26,0,0,8,0,4,12
299,2005/2006,40,2006-04-02,0,0,13,0,5,18
300,2005/2006,41,2006-04-09,0,0,6,0,3,9
301,2005/2006,42,2006-04-16,0,0,7,0,2,9
302,2005/2006,43,2006-04-23,0,0,5,0,1,6
303,2005/2006,44,2006-04-30,0,0,5,0,1,6
304,2005/2006,45,2006-05-07,0,0,6,0,2,8
305,2005/2006,46,2006-05-14,0,0,4,0,1,5
306,2005/2006,47,2006-05-21,0,0,3,0,4,7
307,2005/2006,48,2006-05-28,0,0,5,0,1,6
308,2005/2006,49,2006-06-04,0,0,2,0,3,5
309,2005/2006,50,2006-06-11,0,0,1,0,2,3
310,2005/2006,51,2006-06-18,0,0,0,0,1,1
311,2005/2006,52,2006-06-25,0,0,0,0,0,0
312,2006/2007,1,2006-07-02,0,0,0,0,1,1
313,2006/2007,2,2006-07-09,0,0,1,0,1,2
314,2006/2007,3,2006-07-16,0,0,2,0,1,3
315,2006/2007,4,2006-07-23,0,0,1,0,1,2
316,2006/2007,5,2006-07-30,0,0,1,0,1,2
317,2006/2007,6,2006-08-06,0,0,1,0,1,2
318,2006/2007,7,2006-08-13,0,0,1,0,1,2
319,2006/2007,8,2006-08-20,0,0,1,0,1,2
320,2006/2007,9,2006-08-27,0,0,3,0,1,4
321,2006/2007,10,2006-09-03,0,0,0,0,0,0
322,2006/2007,11,2006-09-10,0,0,5,0,1,6
323,2006/2007,12,2006-09-17,0,0,2,0,1,3
324,2006/2007,13,2006-09-24,0,0,1,0,1,2
325,2006/2007,14,2006-10-01,0,0,4,0,2,6
326,2006/2007,15,2006-10-08,0,0,1,0,1,2
327,2006/2007,16,2006-10-15,0,0,5,0,2,7
328,2006/2007,17,2006-10-22,0,0,4,0,0,4
329,2006/2007,18,2006-10-29,0,0,3,0,3,6
330,2006/2007,19,2006-11-05,0,0,4,0,2,6
331,2006/2007,20,2006-11-12,0,0,1,0,1,2
332,2006/2007,21,2006-11-19,0,0,11,0,2,13
333,2006/2007,22,2006-11-26,0,0,8,0,2,10
334,2006/2007,23,2006-12-03,0,0,4,0,1,5
335,2006/2007,24,2006-12-10,0,0,1,0,1,2
336,2006/2007,25,2006-12-17,0,0,0,0,0,0
337,2006/2007,26,2006-12-24,0,0,0,0,1,1
338,2006/2007,27,2007-01-01,0,0,0,0,0,0
339,2006/2007,28,2007-01-08,0,0,11,0,3,14
340,2006/2007,29,2007-01-15,0,0,5,0,1,6
341,2006/2007,30,2007-01-22,0,0,9,0,1,10
342,2006/2007,31,2007-01-29,0,0,4,0,1,5
343,2006/2007,32,2007-02-05,0,0,11,0,1,12
344,2006/2007,33,2007-02-12,0,0,8,0,1,9
345,2006/2007,34,2007-02-19,0,0,4,0,1,5
346,2006/2007,35,2007-02-26,0,0,9,0,2,11
347,2006/2007,36,2007-03-05,0,0,1,0,1,2
348,2006/2007,37,2007-03-12,0,0,6,0,0,6
349,2006/2007,38,2007-03-19,0,0,5,0,2,7
350,2006/2007,39,2007-03-26,0,0,5,0,1,6
351,2006/2007,40,2007-04-02,0,0,3,0,2,5
352,2006/2007,41,2007-04-09,0,0,4,0,5,9
353,2006/2007,42,2007-04-16,0,0,4,0,1,5
354,2006/2007,43,2007-04-23,0,0,5,0,3,8
355,2006/2007,44,2007-04-30,0,0,2,0,1,3
356,2006/2007,45,2007-05-07,0,0,3,0,1,4
357,2006/2007,46,2007-05-14,0,0,4,0,7,11
358,2006/2007,47,2007-05-21,0,0,4,0,1,5
359,2006/2007,48,2007-05-28,0,0,6,0,2,8
360,2006/2007,49,2007-06-04,0,0,3,0,1,4
361,2006/2007,50,2007-06-11,0,0,2,0,1,3
362,2006/2007,51,2007-06-18,0,0,0,0,1,1
363,2006/2007,52,2007-06-25,0,0,2,0,0,2
364,2007/2008,1,2007-07-02,0,0,1,0,2,3
365,2007/2008,2,2007-07-09,0,0,3,0,1,4
366,2007/2008,3,2007-07-16,0,0,0,0,1,1
367,2007/2008,4,2007-07-23,0,0,5,0,3,8
368,2007/2008,5,2007-07-30,0,0,3,0,2,5
369,2007/2008,6,2007-08-06,0,0,1,0,2,3
370,2007/2008,7,2007-08-13,0,0,1,0,1,2
371,2007/2008,8,2007-08-20,0,0,4,0,3,7
372,2007/2008,9,2007-08-27,0,0,0,0,1,1
373,2007/2008,10,2007-09-03,0,0,5,0,1,6
374,2007/2008,11,2007-09-10,0,0,7,0,0,7
375,2007/2008,12,2007-09-17,0,0,5,0,0,5
376,2007/2008,13,2007-09-24,0,0,2,0,0,2
377,2007/2008,14,2007-10-01,0,0,5,0,1,6
378,2007/2008,15,2007-10-08,0,0,6,0,5,11
379,2007/2008,16,2007-10-15,0,0,5,0,1,6
380,2007/2008,17,2007-10-22,0,0,2,0,1,3
381,2007/2008,18,2007-10-29,0,0,11,0,0,11
382,2007/2008,19,2007-11-05,0,0,10,0,1,11
383,2007/2008,20,2007-11-12,0,0,4,0,1,5
384,2007/2008,21,2007-11-19,0,0,3,0,1,4
385,2007/2008,22,2007-11-26,0,0,8,0,1,9
386,2007/2008,23,2007-12-03,0,0,20,0,3,23
387,2007/2008,24,2007-12-10,0,0,26,0,2,28
388,2007/2008,25,2007-12-17,0,0,24,0,2,26
389,2007/2008,26,2007-12-24,0,0,6,0,1,7
390,2007/2008,27,2008-01-01,0,0,22,0,7,29
391,2007/2008,28,2008-01-08,0,0,46,0,12,58
392,2007/2008,29,2008-01-15,0,0,21,0,5,26
393,2007/2008,30,2008-01-22,0,0,32,0,6,38
394,2007/2008,31,2008-01-29,0,0,31,0,4,35
395,2007/2008,32,2008-02-05,0,0,34,0,3,37
396,2007/2008,33,2008-02-12,0,0,18,0,2,20
397,2007/2008,34,2008-02-19,0,0,25,1,3,29
398,2007/2008,35,2008-02-26,0,0,20,0,5,25
399,2007/2008,36,2008-03-04,0,0,18,1,4,23
400,2007/2008,37,2008-03-11,0,0,8,0,1,9
401,2007/2008,38,2008-03-18,0,0,2,0,1,3
402,2007/2008,39,2008-03-25,0,0,4,0,2,6
403,2007/2008,40,2008-04-01,0,0,5,0,1,6
404,2007/2008,41,2008-04-08,0,0,2,1,0,3
405,2007/2008,42,2008-04-15,0,0,0,0,1,1
406,2007/2008,43,2008-04-22,0,0,2,0,1,3
407,2007/2008,44,2008-04-29,0,0,0,0,1,1
408,2007/2008,45,2008-05-06,0,0,1,0,0,1
409,2007/2008,46,2008-05-13,0,0,0,0,0,0
410,2007/2008,47,2008-05-20,0,0,0,0,2,2
411,2007/2008,48,2008-05-27,0,0,1,0,0,1
412,2007/2008,49,2008-06-03,0,0,0,0,1,1
413,2007/2008,50,2008-06-10,0,0,0,0,0,0
414,2007/2008,51,2008-06-17,0,0,0,0,0,0
415,2007/2008,52,2008-06-24,0,0,0,1,0,1
416,2008/2009,1,2008-07-01,0,0,0,0,0,0
417,2008/2009,2,2008-07-08,0,0,1,0,2,3
418,2008/2009,3,2008-07-15,0,0,0,1,2,3
419,2008/2009,4,2008-07-22,0,0,0,0,1,1
420,2008/2009,5,2008-07-29,0,0,2,1,2,5
421,2008/2009,6,2008-08-05,0,0,0,0,2,2
422,2008/2009,7,2008-08-12,0,0,1,2,2,5
423,2008/2009,8,2008-08-19,0,0,0,4,1,5
424,2008/2009,9,2008-08-26,0,0,1,2,2,5
425,2008/2009,10,2008-09-02,0,0,0,7,2,9
426,2008/2009,11,2008-09-09,0,0,3,11,3,17
427,2008/2009,12,2008-09-16,0,0,1,14,4,19
428,2008/2009,13,2008-09-23,0,0,4,15,6,25
429,2008/2009,14,2008-09-30,0,0,1,30,14,45
430,2008/2009,15,2008-10-07,0,0,1,23,10,34
431,2008/2009,16,2008-10-14,0,0,0,43,20,63
432,2008/2009,17,2008-10-21,0,0,2,37,5,44
433,2008/2009,18,2008-10-28,0,0,2,41,7,50
434,2008/2009,19,2008-11-04,0,0,0,23,12,35
435,2008/2009,20,2008-11-11,0,0,0,14,2,16
436,2008/2009,21,2008-11-18,0,0,0,13,3,16
437,2008/2009,22,2008-11-25,0,0,0,10,3,13
438,2008/2009,23,2008-12-02,0,0,0,4,5,9
439,2008/2009,24,2008-12-09,0,0,0,13,2,15
440,2008/2009,25,2008-12-16,0,0,0,3,1,4
441,2008/2009,26,2008-12-23,0,0,0,0,0,0
442,2008/2009,27,2009-01-01,0,0,0,1,0,1
443,2008/2009,28,2009-01-08,0,0,0,9,1,10
444,2008/2009,29,2009-01-15,0,0,0,10,1,11
445,2008/2009,30,2009-01-22,0,0,0,23,6,29
446,2008/2009,31,2009-01-29,0,0,0,30,5,35
447,2008/2009,32,2009-02-05,0,0,0,24,6,30
448,2008/2009,33,2009-02-12,0,0,0,18,2,20
449,2008/2009,34,2009-02-19,0,0,0,16,5,21
450,2008/2009,35,2009-02-26,0,0,0,9,3,12
451,2008/2009,36,2009-03-05,0,0,0,3,6,9
452,2008/2009,37,2009-03-12,0,0,0,8,3,11
453,2008/2009,38,2009-03-19,0,0,0,9,0,9
454,2008/2009,39,2009-03-26,0,0,0,4,1,5
455,2008/2009,40,2009-04-02,0,0,1,6,4,11
456,2008/2009,41,2009-04-09,0,0,0,2,1,3
457,2008/2009,42,2009-04-16,0,0,1,4,0,5
458,2008/2009,43,2009-04-23,0,0,0,3,2,5
459,2008/2009,44,2009-04-30,0,0,0,2,2,4
460,2008/2009,45,2009-05-07,0,0,0,4,0,4
461,2008/2009,46,2009-05-14,0,0,0,0,1,1
462,2008/2009,47,2009-05-21,0,0,0,0,0,0
463,2008/2009,48,2009-05-28,0,0,0,1,1,2
464,2008/2009,49,2009-06-04,0,0,0,1,2,3
465,2008/2009,50,2009-06-11,0,0,0,2,1,3
466,2008/2009,51,2009-06-18,0,0,0,3,2,5
467,2008/2009,52,2009-06-25,0,0,0,1,1,2
